wkt_geom,NAME,ADDRESS,POSTAL,CITY,TYPE,LONGITUDE,LATITUDE
88,Fallingbrook Presbyterian Ch,35 Wood Glen Rd,M1N2V8,Toronto,Christian,-79.27567879,43.68418462
89,Bellefair United Church,2000 Queen St E,,Toronto,Christian,-79.30022606,43.67022218
90,Corpus Christi Rectory,16 Lockwood Rd,M4L3M8,Toronto,Christian,-79.30986176,43.66859248
91,Beaches Presbyterian Church,75 Glen Manor Dr,M4E3V3,Toronto,Christian,-79.29225248,43.67117814
92,Calvary Baptist Church,72 Main St,M4E2V7,Toronto,Christian,-79.29936027,43.6810698
93,Kampo Gangra Drubgyud Ling,200 Balsam Ave,M4E3C3,Toronto,Buddhist,-79.29052637,43.67908512
94,Can Po Chai Temple Inc,84 Swanwick Ave,M4E1Z7,Toronto,Buddhist,-79.29735052,43.6829086
95,All Peoples Korean Presbyter,21 Swanwick Ave,M4E1Z2,Toronto,Christian,-79.30072075,43.68157041
96,Danforth Mennonite Church,2174-2178 Danforth Ave,M4C1K3,Toronto,Christian,-79.31040673,43.68644903
97,St Brigid Roman Catholic Chu,300 Wolverleigh Blvd,M4C1S6,Toronto,Catholic,-79.3177322,43.68669598
98,Church Of Christ,346 Strathmore Blvd,M4C1N3,Toronto,Christian,-79.32342424,43.68454448
99,Calvary Church,740 Pape Ave,M4K3S7,Toronto,Christian,-79.34585906,43.68055107
100,East Toronto Chinese Baptist,14 Dewhurst Blvd,M4J3H9,Toronto,Christian,-79.33998435,43.68056204
101,Danforth Gospel Temple,1050 Danforth Ave,M4J1M2,Toronto,Christian,-79.33587054,43.6810172
102,St Fredric'S Cathedral,1084 Danforth Ave,M4J1M2,Toronto,Catholic,-79.33535349,43.6811256
103,Toronto Nichiren Buddhist,20 Caithness Ave,M4J3X7,Toronto,Buddhist,-79.33545026,43.68156162
104,St Catherine Of Siena Cathol,1099 Danforth Ave,M4J1M5,Toronto,Catholic,-79.334789,43.68075689
105,Estonian Covenant Church,562 Jones Ave,M4J3H1,Toronto,Christian,-79.33981998,43.67848366
106,Chua Hoa-Nghiem Temple,1278 Gerrard St E,M4L1Y7,Toronto,Buddhist,-79.32756026,43.67129299
107,Bethel Seventh Day Adventist,511 Horner Ave,M8W2B9,Toronto,Christian,-79.54625587,43.60120575
108,Church  Of The Holy Trinity,10 Trinity Sq,M5G1B1,Toronto,Christian,-79.38133862,43.6548378
109,Christ The King Catholic Chu,3674 Lake Shore Blvd W,M8W1N6,Toronto,Catholic,-79.53799982,43.59429296
110,St Rosa Lee Roman Catholic,296 Judson St,M8Z5T6,Toronto,Catholic,-79.51312735,43.61332409
111,Queensway Cathedral,1536-1540 The Queensway,M8Z1T5,Toronto,Catholic,-79.53743885,43.61889323
112,Bishop'S Office,256 Sheldon Ave,M8W4X8,Toronto,Catholic,-79.54650659,43.60848012
113,Church Of The Atonement,256 Sheldon Ave,M8W4X8,Toronto,Christian,-79.54650659,43.60848012
114,Holy Family Coptic Catholic,62 Lunness Rd,M8W4M6,Toronto,Catholic,-79.54651561,43.60677744
115,Alderwood United Church,44 Delma Dr,M8W4N6,Toronto,Christian,-79.55114633,43.60331557
116,Baptist Convention Of Ont An,195 The West Mall,M9C5K1,Toronto,Christian,-79.55783086,43.62684924
117,Bloordale United Church,4258 Bloor St W,M9C1Z7,Toronto,Christian,-79.56885561,43.63462796
118,Calvary Chapel Grace Church,96 Shorncliffe Rd,M8Z5K5,Toronto,Christian,-79.54270085,43.6251771
119,Holy Angels Roman Catholic C,59 Jutland Rd,M8Z2G6,Toronto,Catholic,-79.51899256,43.62829259
120,Berean Baptist Church,5 Glenora Ave,M6C3Y2,Toronto,Christian,-79.43855986,43.69189729
121,Our Lady Of Peace Catholic C,3914 Bloor St W,M9B1L7,Toronto,Catholic,-79.54482689,43.64016125
122,Church Of Jesus Christ Of La,95 Melbert Rd,M9C3P8,Toronto,Christian,-79.58176143,43.64974572
123,Bible Faith Church,326 Rexdale Blvd,M9W1R6,Toronto,Christian,-79.58537304,43.71535455
124,Deliverance Temple,306 Rexdale Blvd,M9W1R6,Toronto,Christian,-79.58312584,43.71505744
125,Etobicoke Church Of God,1357 Martin Grove Rd,M9W4X6,Toronto,Christian,-79.58217052,43.71751609
126,Church Of God Prophecy,1344 Martin Grove Rd,M9W4X3,Toronto,Christian,-79.58091527,43.71250273
127,Berean Church Of God At T.O,15 Racine Rd,M9W2Z4,Toronto,Christian,-79.57200663,43.71497101
128,Bibleway Church Of God In Christ,1A Holley Ave,M9N2C4,Toronto,Christian,-79.52786527,43.70586286
129,Bible Way Church Of God,2822 Weston Rd,M9M2R9,Toronto,Christian,-79.53781247,43.72019211
130,Riverside-Emery United Church,2799 Weston Rd,M9M2R8,Toronto,Christian,-79.53715627,43.71930678
131,Disciples Revival Church,30 Gordon Mackay Rd,M9N2V6,Toronto,Christian,-79.50967954,43.71544128
132,Westminister United Church,69 William St,M9N2G6,Toronto,Christian,-79.5126441,43.70366316
133,Weston Park Baptist Church,1871 Weston Rd,M9N1V9,Toronto,Christian,-79.51526608,43.70005072
134,Weston Park Baptist Church,1871 Weston Rd,M9N1V9,Toronto,Christian,-79.51526608,43.70005072
135,Grace Restoration International Ministries,1736 Weston Rd,M9N1V6,Toronto,Christian,-79.51100785,43.69790424
136,Bethel Apostolic Church,1831 Weston Rd,M9N1V9,Toronto,Christian,-79.51382883,43.6996092
137,Bethel Apostolic Church,1831 Weston Rd,M9N1V9,Toronto,Christian,-79.51382883,43.6996092
138,Masonic Lodge,2040 Weston Rd,M9N1X4,Toronto,Christian,-79.5214815,43.7012322
139,Central United Church,1 King St,M9N1K8,Toronto,Christian,-79.52017085,43.7015623
140,St John The Evangelist,45 George St,M9N2B4,Toronto,Christian,-79.52140692,43.70349374
141,St Johns Anglican,2125 Weston Rd,M9N1X8,Toronto,Christian,-79.52408513,43.70278278
142,St Andrew's Presbyterian Church,1579 Royal York Rd,M9P3C5,Toronto,Christian,-79.53362259,43.69949485
143,Westmount Park Church,1483 Royal York Rd,M9P3B3,Toronto,Christian,-79.52930906,43.68956737
144,Westmount Gospel Hall,59 Kingdom St,M9P1W4,Toronto,Christian,-79.51614286,43.69552325
145,Church Of St Demetrius,135 La Rose Ave,M9P1A6,Toronto,Catholic,-79.5226335,43.68479484
146,All Saints Roman Catholic Parish,1415 Royal York Rd,M9P3A7,Toronto,Catholic,-79.52692743,43.6846897
147,St. Matthias Anglican Church,1428 Royal York Rd,M9P3A8,Toronto,Christian,-79.5283195,43.68486532
148,Humbervale United Church,1447 Royal York Rd,M9P3V8,Toronto,Christian,-79.52765502,43.68652753
149,Church Of St Wilfrid,1315 Kipling Ave,M9B3N7,Toronto,Christian,-79.54572907,43.66608328
150,Bul Kwang Sa,2588 St Clair Ave W,M6N1L9,Toronto,Buddhist,-79.49033418,43.66768235
151,Buddhism Zen Meditation Cent,2586 St Clair Ave W,M6N1L9,Toronto,Buddhist,-79.4902378,43.66770343
152,Korea Buddhism Chogye Order,2586 St Clair Ave W,M6N1L9,Toronto,Buddhist,-79.4902378,43.66770343
153,Linh-Son Buddhist Association,3325 Dundas St W,M6P2A6,Toronto,Buddhist,-79.48095043,43.66543518
154,Celestial Church Of Christ,3339 Dundas St W,M6P2A6,Toronto,Christian,-79.48139122,43.66536829
155,Ontario Zen Centre,22 Oakmount Rd,M6P2M7,Toronto,Buddhist,-79.46354456,43.65517605
156,St Joan Of Arc,1701 Bloor St W,M6P1B1,Toronto,Catholic,-79.4579236,43.65488995
157,Church Of The First Born,72 Perth Ave,,Toronto,Christian,-79.44852288,43.65614471
158,Chua Long Hoa Temple,2770A Dundas St W,M6P1Y3,Toronto,Buddhist,-79.46137611,43.66548033
159,Riwoche Tibetan Buddist Temp,28 Heintzman St,M6P2J6,Toronto,Buddhist,-79.46390634,43.66606056
160,St Cecilia'S Catholic Church,163 Annette St,M6P1P5,Toronto,Catholic,-79.46725328,43.66296447
161,Annette Street Baptist Churc,200 Annette St,M6P1P6,Toronto,Christian,-79.46880953,43.66316037
162,Bibleway Pentecostal Church,33-41 McCormack St,M6N1X8,Toronto,Christian,-79.47342187,43.67642661
163,Bibleway Pentecostal Church,33-41 McCormack St,M6N1X8,Toronto,Christian,-79.47342187,43.67642661
164,Apostolic Christian Church,274 Weston Rd,M6N3P5,Toronto,Christian,-79.47311605,43.67774027
165,Church Of God Prophecy,1780 St Clair Ave W,M6N 1J5,Toronto,Christian,-79.46187407,43.67410482
166,Celestial Church Of Christ,1870 St Clair Ave W,M6N 1J8,Toronto,Christian,-79.4644429,43.67350532
167,Church Of God Apostolic,238 Rosemount Ave,M6H2N3,Toronto,Christian,-79.44699685,43.67550251
168,Church Of Ste Nicola Di Bari,1277 St Clair Ave W,M6E1B8,Toronto,Christian,-79.44715359,43.67672623
169,Boon Ave Baptist Church,11 Boon Ave,M6E3Z2,Toronto,Christian,-79.44604099,43.67786431
170,Carisma Church,236 Nairn Ave,M6E4H4,Toronto,Christian,-79.45180398,43.6837395
171,Church Of United Bretheren,48 Bloem Ave,M6E1S1,Toronto,Christian,-79.44846789,43.68606587
172,Soka Gakkai International,2050 Dufferin St,M6E3R6,Toronto,Buddhist,-79.44693439,43.68659272
