PX,Main,Side_1_Rou,Side_2_Rou,X,Y,Latitude,Longitude
1108,SHEPPARD AVE E,MORNINGSIDE AVE,,328942,4851156,43.80191842,-79.19997577
1138,FINCH AVE E,BIRCHMOUNT RD,,320396.75,4850800,43.79894346,-79.30618129
1163,HIGHWAY 27,FINCH AVE W,,296479.97,4843584.78,43.73411499,-79.6032803
1178,FINCH AVE E,BRIMLEY RD,,322694.63,4851551,43.80565132,-79.27760097
1181,FINCH AVE E,GORDON BAKER RD,FINCH E 404 N RAMP,317558.59,4850366.425,43.79509279,-79.34146071
1241,PHARMACY AVE,MCNICOLL AVE,,318403.811,4851365,43.80406844,-79.33093282
1287,WARDEN AVE,MCNICOLL AVE,,319188.5,4851614,43.80629489,-79.32117412
1289,STEELES AVE W,WESTON RD,,301038.6,4847592.55,43.77022722,-79.54672005
1339,NEILSON RD,MCLEVIN AVE,,327178.22,4851949.71,43.80911813,-79.2218617
1377,WARDEN AVE,ASHTONBEE RD,,321801.5,4843217,43.73065632,-79.28896484
1404,ST CLAIR AVE W,GUNNS RD,OLD STOCK YARDS RD,307112.63,4836648.99,43.67172638,-79.471322
1413,BIRCHMOUNT RD,MCNICOLL AVE,,319976.938,4851870.004,43.80858343,-79.31136791
1431,FINCH AVE E,MIDDLEFIELD RD,,324278.43,4852019.97,43.80983258,-79.25790025
1493,MCCOWAN RD,MCNICOLL AVE,,323127.07,4852911.42,43.81788609,-79.27218001
1568,SHEPPARD AVE E,MALVERN ST,PROGRESS AVE,326115.5,4850334,43.79460632,-79.23513433
1579,SPADINA AVE,BREMNER BLVD,,313416.694,4833185.793,43.64050595,-79.39320328
1584,MORNINGSIDE AVE,MILNER AVE,,328998.31,4850968,43.80022438,-79.19928443
1586,KENNEDY RD,MCNICOLL AVE,,320718.096,4852260.447,43.81208233,-79.30214461
567,ISLINGTON AVE,THE QUEENSWAY,,0,0,43.62353758,-79.51498079
434,DIXON RD,ISLINGTON AVE,,0,0,43.69699642,-79.54692685
702,ELLESMERE RD,MARKHAM RD,,0,0,43.77638041,-79.23196017
