long,lat,incident_date,incident_time,location
-79.41448299,43.65530846,11/05/2016,2120,606 COLLEGE ST
-79.41454768,43.65533936,09/25/2015,2343,608 COLLEGE ST
-79.4149733,43.65532478,06/08/2014,1432,622 COLLEGE ST
-79.4149733,43.65532478,04/11/2015,2325,622 COLLEGE ST
-79.40138327,43.64395878,07/28/2016,2310,627 KING ST W
-79.37644649,43.67204089,06/11/2015,2310,633 SHERBOURNE ST
-79.39743719,43.68780115,06/19/2015,2035,64 ST CLAIR AV W
-79.35065564,43.66612755,12/19/2015,1220,640 GERRARD ST E
-79.40239964,43.66289492,09/12/2014,2235,646 SPADINA AV
-79.38230084,43.65156828,05/10/2016,908,65 QUEEN ST W
-79.40221804,43.66427083,10/19/2016,1830,661 SPADINA AV
-79.41660783,43.65528881,04/30/2014,2025,662 COLLEGE ST
-79.41654431,43.66426111,04/16/2016,2011,670 BLOOR ST W
-79.41643855,43.66450355,05/29/2015,1040,670 MANNING AV
-79.4162571,43.66381481,11/19/2016,1720,675 BLOOR ST W
-79.35120017,43.65881295,09/27/2015,750,678 QUEEN ST E
-79.40819928,43.72525528,07/04/2014,940,69 DOUGLAS AV
-79.43117123,43.64108557,12/05/2014,1340,69 ELM GROVE AV
-79.31824064,43.66795965,09/08/2014,1020,69 RHODES AV
-79.40140646,43.645011,10/07/2014,1230,7 ADELAIDE PL
-79.357986,43.650097,07/17/2014,1900,70 DISTILLERY LN
-79.36341213,43.65237918,12/13/2016,1800,70 PARLIAMENT ST
-79.40489389,43.6517857,05/17/2016,1500,707 DUNDAS ST W
-79.42928829,43.65972159,08/10/2014,1600,730 DOVERCOURT RD
-79.31097445,43.68026304,09/23/2016,1610,748 WOODBINE AV
-79.40678086,43.65243726,07/15/2015,1117,756 DUNDAS ST W
-79.4069131,43.65197873,09/17/2015,1843,767 DUNDAS ST W
-79.34206108,43.67934958,09/05/2015,2033,777 DANFORTH AV
-79.40737715,43.65188947,05/23/2016,2035,777 DUNDAS ST W
-79.37833271,43.65560098,07/21/2015,1700,80 BOND ST
-79.42181673,43.65483154,11/03/2014,1445,806 COLLEGE ST
-79.42178917,43.65435062,08/21/2015,1319,807 COLLEGE ST
-79.34502923,43.65971534,06/07/2016,1807,811 QUEEN ST E
-79.4304439,43.68095447,09/27/2015,1305,812 ST CLAIR AV W
-79.40937586,43.645903,09/12/2014,1900,825 QUEEN ST W
-79.42329074,43.65444746,07/02/2015,1812,842 COLLEGE ST
-79.41013348,43.65128081,10/27/2015,1330,849 DUNDAS ST W
-79.42489874,43.66242523,07/01/2014,2115,868 BLOOR ST W
-79.38486722,43.67088305,09/18/2015,1055,90 BLOOR ST E
-79.41208948,43.64543188,05/19/2014,1459,903 QUEEN ST W
-79.41255023,43.64532853,07/15/2015,2045,917 QUEEN ST W
-79.41261916,43.64531643,08/24/2015,1820,919 QUEEN ST W
-79.37470861,43.64963917,06/20/2015,305,95 KING ST E
-79.40131155,43.66830646,07/08/2016,800,95 PRINCE ARTHUR AV
-79.33920977,43.66107503,08/13/2015,1215,955 QUEEN ST E
-79.44718879,43.64216263,10/15/2016,1700,99 RONCESVALLES AV
-79.374922,43.651172,06/21/2015,1900,ADELAIDE ST E / CHURCH ST
-79.374922,43.651172,07/22/2016,830,ADELAIDE ST E / CHURCH ST
-79.398126,43.64622,10/29/2014,855,ADELAIDE ST W / BRANT ST
-79.392826,43.647308,02/24/2016,1805,ADELAIDE ST W / PETER ST
-79.382674,43.652943,05/17/2016,1340,ALBERT ST / BAY ST
-79.469246,43.66289,09/28/2014,109,ANNETTE ST / HIGH PARK AV
-79.32182,43.672309,08/17/2015,1513,ASHDALE AV / GERRARD ST E
-79.396573,43.674698,02/19/2016,900,AVENUE RD / DAVENPORT RD
-79.419369,43.73242,09/16/2015,1720,AVENUE RD / ROE AV
-79.419609,43.66657,08/28/2015,840,BARTON AV / CHRISTIE ST
-79.411208,43.665132,06/23/2016,1300,BATHURST ST / BLOOR ST W
-79.406013,43.652296,12/04/2014,830,BATHURST ST / DUNDAS STREET WEST
-79.409744,43.661516,01/25/2016,935,BATHURST ST / HARBORD ST
-79.40267,43.643904,05/28/2014,937,BATHURST ST / KING ST W
-79.401878,43.641914,07/07/2016,2300,BATHURST ST / NIAGARA ST
-79.418311,43.683216,07/18/2016,830,BATHURST ST / ST CLAIR AV W
-79.389477,43.669716,09/01/2015,1145,BAY ST / BLOOR ST W
-79.385856,43.660836,06/28/2014,907,BAY ST / COLLEGE ST
-79.385856,43.660836,10/02/2014,1923,BAY ST / COLLEGE ST
-79.385856,43.660836,09/08/2016,900,BAY ST / COLLEGE ST
-79.385856,43.660836,10/17/2016,1005,BAY ST / COLLEGE ST
-79.384688,43.658086,10/23/2016,2130,BAY ST / WALTON ST
-79.390163,43.671358,07/24/2014,1810,BAY ST / YORKVILLE AV
-79.390163,43.671358,07/09/2015,1740,BAY ST / YORKVILLE AV
-79.410769,43.645827,04/15/2016,1845,BELLWOODS AV / QUEEN ST W
-79.37435,43.672264,06/23/2016,820,BLOOR ST E / TED ROGERS WY [EB]
-79.386771,43.670243,05/11/2015,1025,BLOOR ST E / YONGE ST
-79.386771,43.670243,11/11/2016,1900,BLOOR ST E / YONGE ST
-79.394126,43.6687,08/05/2016,1041,BLOOR ST W / AVENUE RD
-79.394126,43.6687,10/05/2016,1800,BLOOR ST W / AVENUE RD
-79.389477,43.669716,10/20/2014,750,BLOOR ST W / BAY ST
-79.397378,43.668024,06/08/2015,1315,BLOOR ST W / BEDFORD RD
-79.397378,43.668024,06/25/2016,1345,BLOOR ST W / BEDFORD RD
-79.407454,43.665916,11/23/2016,1500,BLOOR ST W / BRUNSWICK AV
-79.418406,43.663559,08/08/2014,1129,BLOOR ST W / CHRISTIE ST
-79.429379,43.661159,07/06/2016,1600,BLOOR ST W / DOVERCOURT RD
-79.435328,43.659858,04/29/2015,1747,BLOOR ST W / DUFFERIN ST
-79.535196,43.641513,09/02/2015,1800,BLOOR ST W / DUNDAS ST W
-79.414862,43.664332,08/15/2015,2120,BLOOR ST W / EUCLID AV
-79.434082,43.660131,08/21/2014,1815,BLOOR ST W / GLADSTONE AV
-79.434082,43.660131,11/13/2016,15,BLOOR ST W / GLADSTONE AV
-79.408644,43.665665,06/24/2014,925,BLOOR ST W / HOWLAND AV
-79.442734,43.658345,08/30/2015,1426,BLOOR ST W / LANSDOWNE AV
-79.415984,43.66409,11/13/2016,1645,BLOOR ST W / MANNING AV
-79.412412,43.664871,07/03/2015,2130,BLOOR ST W / MARKHAM ST
-79.387393,43.670103,11/03/2016,1815,BLOOR ST W / MAYFAIR MEWS
-79.425624,43.661983,09/21/2014,2015,BLOOR ST W / OSSINGTON AV
-79.425624,43.661983,07/08/2016,2333,BLOOR ST W / OSSINGTON AV
-79.425624,43.661983,11/15/2016,1830,BLOOR ST W / OSSINGTON AV
-79.382281,43.651552,10/07/2016,1915,BLOOR ST W / QUEEN'S PR
-79.405336,43.666362,09/29/2015,900,BLOOR ST W / ROBERT ST
-79.390998,43.66938,06/24/2015,1810,BLOOR ST W / ST THOMAS ST
-79.390998,43.66938,11/26/2016,1445,BLOOR ST W / ST THOMAS ST
-79.386771,43.670243,04/30/2015,2150,BLOOR ST W / YONGE ST
-79.386771,43.670243,07/10/2015,2257,BLOOR ST W / YONGE ST
-79.348204,43.663173,04/14/2014,1750,BOULTON AV / DUNDAS ST E
-79.358829,43.676204,10/07/2015,1155,BROADVIEW AV / DANFORTH AV
