ID,NAME,ADDRESS_OR_INTERSECTION,POSTAL_CODE,FORMER_MUNICIPALITY,GC_LONGITUDE,GC_LATITUDE,TYPE
112,Birdsilver Gardens Senior Support Centre,16 Birdsilver Gardens,M1C 4M5,Scarborough,-79.13069326,43.79198959,Retirement Home
113,Carefirst Transitional Care Centre,300 Silver Star Boulevard,M1V 5P1,Scarborough,-79.29556494,43.81237879,Retirement Home
114,Cedarbrook Lodge Retirement Residence,520 Markham Road,M1H 3A1,Scarborough,-79.2249179,43.75487641,Retirement Home
115,Scarborough Retirement Residence,148 Markham Road,M1M 2Z8,Scarborough,-79.21867517,43.74090614,Retirement Home
116,Villa Karuna Home For Seniors,602 Brimley Road,M1J 1B5,Scarborough,-79.25084957,43.74165606,Retirement Home
117,Centennial Park Place,25 Centennial Park Road,M9C 5H1,Etobicoke,-79.58205351,43.65325684,Retirement Home
118,Leaside,10 -14 William Morgan Drive,M4H 1E7,East York,-79.342126,43.709365,Retirement Home
119,Adeline's Lodge,379 Lake Promenade,M8W 1C1,Etobicoke,-79.53864959,43.58755684,Retirement Home
120,Fairfield Residence,10 Fairfield Avenue,M8V 2H9,Etobicoke,-79.52349383,43.59792374,Retirement Home
121,147 Elder Street Inc.,147 Elder Street,M3H 5G9,Toronto,-79.454018,43.76273144,Retirement Home
122,Davenhill Senior Living (Formerly Known as Fellowship Towers),877 Yonge Street,M4W 3M2,Toronto,-79.38797583,43.67425754,Retirement Home
123,St. Hilda's Towers,2339 Dufferin Street,M6E 4Z5,Toronto,-79.44949042,43.69476831,Retirement Home
124,Terrace Gardens,3705 Bathurst Street,M6A 2E8,Toronto,-79.43313549,43.73531177,Retirement Home
125,The Claremont,305 Balliol Street,M4S 3H5,Toronto,-79.38695093,43.69896923,Retirement Home
126,V Care Retirement Home,8 Bridlington Street,M1H 2L5,Toronto,-79.23958393,43.77085054,Retirement Home
127,Christie Gardens,600 Melita Crescent,M6G 3Z4,Toronto,-79.42269309,43.67318983,Retirement Home
128,Delmanor Wynford,187 Wynford Drive,M3C 0C7,Toronto,-79.32582396,43.72473525,Retirement Home
129,Weston Gardens Retirement Residence,303 Queens Drive,M6L 3C1,Toronto,-79.50217766,43.70749097,Retirement Home
130,Amica at Bayview,15 Barberry Place,M2K 1G4,North York,-79.38404049,43.76641186,Retirement Home
131,Amica at Bayview Gardens,19 Rean Drive,M2K 0A4,North York,-79.38239392,43.76716293,Retirement Home
132,Canterbury Place Retirement Residence,1 Canterbury Place,M2N 0G7,North York,-79.4144927,43.77214459,Retirement Home
133,Delmanor Northtown,5351 Yonge Street,M2N 7L5,North York,-79.41415909,43.77531339,Retirement Home
134,Donway Place,8 The Donway E.,M3C 3R7,North York,-79.34045622,43.73472101,Retirement Home
135,Amica at the Balmoral Club,155 Balmoral Avenue,M4V 1J5,Toronto,-79.40003934,43.68424578,Retirement Home
136,Bill McMurray Residence,180 Sheridan Avenue,M6K 3C7,Toronto,-79.43469784,43.65162058,Retirement Home
137,Cedarhurst Dementia Care Home (Formerly Known as Cedarhurst),2601 Bayview Avenue,M2L 1B5,Toronto,-79.3839757,43.75146436,Retirement Home
138,Dowling Rest Home,124 Dowling Avenue,M6K 3A6,Toronto,-79.43899975,43.63690784,Retirement Home
